"","GSM416798","GSM416799","GSM416800","GSM416801","GSM416802","GSM416803","GSM416804","GSM416805","GSM416806","GSM416807","GSM416808","GSM416809","GSM416810","GSM416811","GSM416812","GSM416813","GSM416814","GSM416815","GSM416816","GSM416817","GSM416818","GSM416819","GSM416820","GSM416821","GSM416822","GSM416823","GSM416824","GSM416825","GSM416826","GSM416827","GSM416828","GSM416829","GSM416830","GSM416831","GSM416832","GSM416833","GSM416834","GSM416835","GSM416836","GSM416837","GSM416838","GSM416839","GSM416840","GSM416841","GSM416842","GSM416843","GSM416844","GSM416845","GSM416846","GSM416847","GSM416848","GSM416849","GSM416850","GSM416851","GSM416852","GSM416853","GSM416854","GSM416855","GSM416856","GSM416857","GSM416858","GSM416859","GSM416860","GSM416861","GSM416862","GSM416863","GSM416864","GSM416865"
"KDR",339.0566542,276.6077561,193.9267725,707.5520642,46.64338645,153.3856824,81.1397469,139.0713453,53.62881187,45.61982992,49.74051204,106.239551,74.36956916,142.6976467,96.56819756,61.5881766,102.7693639,34.09320504,70.33089507,457.8605784,129.6058343,36.63845307,508.5734816,120.5029772,47.51704464,255.1710797,33.81730846,46.96589613,66.52243133,59.47340101,278.7266872,391.3241998,116.5896906,75.19298393,143.0936595,53.97817124,73.18920766,109.9092464,83.8656135,61.90992947,48.00418836,132.0650819,96.84564576,236.4773248,38.85120158,102.6621809,50.4640713,206.7760449,72.30027169,324.1497744,50.17322497,55.50691534,60.69592428,154.6629799,64.16888407,113.2135389,42.39239271,230.2500407,76.20321059,128.5409434,142.7592286,629.9258006,90.1583772,57.30302149,301.7596898,32.50927144,119.4332557,322.4419866
"CD36",133.054571,170.1335913,62.39758898,122.7344523,32.39166798,135.1722559,238.0867094,52.46926981,16.71423751,78.3063851,62.67660948,86.3116596,69.90361334,22.22726972,156.9809165,21.76725758,21.43097318,19.86360959,62.12536386,232.0990664,21.9299046,23.38527089,28.07757627,34.23240053,19.1651309,40.39242474,17.07960655,28.53643192,22.60615806,18.34836879,50.08702068,80.59756005,81.2345007,69.39257487,22.87549615,23.64189207,14.1015269,175.6454108,23.70682799,32.7272348,50.92232694,20.72801777,20.4373513,35.46962296,105.5537432,48.17284614,37.54097864,409.1393259,120.7047511,223.1838822,51.59425394,68.69227265,63.31300341,301.5172054,329.137606,151.6782899,48.37852426,83.05057129,52.93549972,26.88552651,58.81374351,212.7866783,41.63912137,49.25127627,68.05157753,34.50553979,28.85109263,49.70893975
"MMP2",12.07934986,12.26078316,13.31979114,12.70892548,12.57983928,11.29705585,12.43563796,12.11480172,12.42337688,12.99964462,10.5731795,13.11169994,13.58748244,13.13224692,13.06507594,14.25853462,11.39970019,13.92839747,12.95942163,15.45343195,11.53124603,12.39428003,13.36334411,11.52484151,15.62164197,11.09052765,12.7237357,11.22904665,13.17347918,11.1779329,11.66790835,11.63625563,14.06241549,15.02484163,12.18241192,12.95481982,14.82625894,12.15467027,13.99347368,12.05469481,12.80203246,13.3303176,12.26706826,13.09352312,17.18941346,13.44392162,12.98304834,13.19304627,12.11609814,11.94389598,12.61636801,12.46941355,11.91541406,11.13374873,11.85603624,11.8782315,11.84814515,8.953048915,11.20174349,15.32712939,13.15852183,14.07477342,13.718118,13.7248839,16.16520306,11.05014227,13.42708775,15.82723678
"STAT1",1043.332781,660.2664075,1177.94689,451.6676309,501.4896572,1194.259885,871.5533312,761.4836245,1461.402831,679.3626071,1046.95024,365.7403621,695.0080362,753.1791617,872.8603361,1485.295498,1702.557619,1399.880835,981.8068427,523.4978076,1007.359719,566.6403872,1254.539025,1856.264612,946.6951718,1197.758065,896.8313907,1008.827923,1003.099354,829.6152097,833.7707716,766.800002,658.495996,766.322405,730.8789868,1158.950785,677.1164447,1887.730025,735.3566818,1708.885423,3168.415344,1218.060751,1115.529085,749.5993065,818.275634,1088.693246,867.4756801,725.7015746,2585.167508,1235.424589,1210.825579,1410.482954,814.2690689,1325.646477,741.4111007,1077.048463,657.0398498,702.0706023,1702.244105,1330.297526,815.1213957,3777.55338,618.0461503,1534.196424,850.7963417,1111.480523,718.1784052,797.0465894
"CD34",139.4985466,227.8640939,89.24093522,130.7188988,48.40655983,118.4357797,76.25822528,78.21089029,87.96610546,108.0462475,85.35019032,101.3388525,90.48147348,63.02838569,131.0164244,78.40845105,75.3316553,68.71869001,76.87424334,76.20233465,75.15330967,76.00829075,65.61472385,93.73273326,54.61937537,79.34463793,131.7210626,163.2449143,107.6330958,69.43147377,81.46117976,74.96262515,124.3176941,74.62209691,85.20536491,78.11643932,54.48041923,105.3534921,136.0452459,93.5004759,74.29914944,77.38874529,61.0231955,60.16657048,64.41140624,98.93218277,96.01667886,241.5128334,128.2036612,103.8407765,128.6782892,54.08667253,68.30624303,127.0634914,93.87131363,107.7318346,74.59168913,57.57189005,61.04913858,73.18662503,64.06126722,199.124474,90.85338389,76.80801543,111.0455538,305.2344172,76.13414664,129.9819383
"ESR1",26.8191462,31.56100365,39.9388043,17.16545694,21.38571092,37.86567409,42.53876291,45.28729319,33.40661664,32.84035563,55.9902917,18.07109753,16.29711109,21.95290218,30.56036509,22.616218,24.84367024,32.28944889,33.10352457,34.56953006,25.32460354,16.30660476,42.39414724,51.61409246,46.91128137,40.89246934,23.80392723,36.68906711,44.76566539,38.61113935,51.142686,42.93160777,36.62097882,41.48718671,20.02850946,45.5040337,32.65142316,30.73806435,38.8997899,169.9137702,33.57380994,33.66614434,21.52641713,52.26540025,31.38935908,39.72870677,26.80315854,17.1921463,26.95464716,26.01413923,33.30082869,64.4934924,24.54489854,23.46818952,40.22126907,53.33088039,33.79926236,23.39758036,68.40204986,38.30598309,25.43292108,36.35357581,20.70681649,42.20790648,42.83435503,27.61054615,33.08921583,59.498857
"VWF",333.2891061,1537.95491,350.5945731,1195.078075,163.501462,208.2964679,219.9657484,325.323467,310.2479427,338.8598341,111.0930674,640.8468838,199.8117384,339.9681909,819.4216081,198.793466,183.5951319,126.7264877,338.3008936,192.8380567,719.6927946,332.2607542,281.9149344,153.3851628,136.3509657,268.5658437,233.2266859,83.70954821,462.8682989,442.3906012,299.2232295,249.0545267,760.4047406,373.2434149,137.5514256,89.24324028,267.4361228,381.1170766,138.8938911,116.2063453,350.084706,265.486085,221.1021176,407.0880931,322.1584199,286.7975484,299.4820854,643.8513426,140.4861014,593.0560956,189.8506023,69.83338986,274.1008415,226.4851511,365.2549449,513.5827095,136.792382,208.898684,96.9850189,138.1232604,363.8327184,2645.569704,172.5792437,70.40411158,268.9666079,266.3618364,248.7665441,151.1052015
"THBS1",21.97281671,27.05149053,28.96220654,60.88591923,24.00645168,220.2459117,23.27621723,56.83409729,43.17745091,48.12097671,788.452807,25.24729953,18.4937138,25.09500805,160.8207495,166.1741863,782.1611272,26.35589366,25.72507023,29.00419012,26.49923709,21.23259136,30.70185383,255.5809345,339.3082423,22.93894747,26.26982877,224.1597724,39.92048605,19.57524216,19.28582798,23.93413941,39.29657901,53.89285167,23.43871981,106.5657849,28.7281785,47.56126206,71.7534767,166.9234848,25.04866594,17.70052723,20.21170497,18.79794231,69.59026413,15.20342284,47.98651723,78.71650624,22.53492996,27.44766216,671.0239043,168.2705706,21.60278546,26.50363813,27.54212735,716.6233543,28.00356583,174.2277132,110.1900543,33.45313276,21.71955516,32.90297298,18.30203374,113.2532315,33.86302145,371.677092,26.28422391,434.0653178
"CXCL12",88.31483799,640.658573,157.4607257,260.3489834,207.4833884,207.1212526,860.0427765,142.326944,97.13356713,215.3363281,141.727986,68.49436903,78.61139098,116.5435264,194.1039572,78.76935842,102.6615003,83.89292825,151.812744,120.5485871,916.888561,53.37433575,96.44166132,272.6193858,104.0870064,126.3805519,199.1888826,120.5122689,388.4259661,209.0906879,163.1784587,200.4319101,123.2450721,134.424043,195.881592,77.900043,83.50783504,1042.073306,97.04598214,131.6182247,120.7819848,129.045859,1181.413737,243.2112809,222.9470727,90.90240977,93.06575213,724.1797671,122.4795641,87.28820969,389.6962004,69.34220523,182.0564859,312.5723452,1189.52611,211.1664541,118.563397,63.34725366,160.8135741,491.089975,298.5134707,271.7572323,129.5981164,69.84532672,340.5548143,57.77176769,105.3204471,57.48408809
"PPARG",20.81249366,34.11569502,37.185779,20.55744457,20.08236316,30.40526835,19.70820903,34.66523925,25.22642048,28.46665232,28.64139043,25.92540753,19.40671664,17.84203288,36.01570606,36.80772396,24.2409709,18.98243977,23.3298727,16.52719217,22.43018347,19.97873751,38.70609551,28.29405497,16.30526828,20.88786234,21.97742484,19.88069507,24.42416477,19.35101969,18.84965433,32.73336196,31.72870956,21.26778899,16.33312472,20.4510811,26.44689547,39.14244055,27.52742511,20.33547312,35.82797763,17.90435951,25.21687097,30.54678177,16.88366017,18.24162709,17.85602917,31.0670201,27.920792,27.2120532,28.10666918,24.47284627,20.744211,24.93223846,25.0984242,52.31893548,27.94746676,24.77911027,30.46397428,20.39758096,24.94877997,62.3906245,19.70028364,31.1594758,28.80023623,20.72409642,21.99220385,31.83794821
"PTGS2",20.86144375,11.6504333,12.65746506,16.82302003,12.93709539,15.23793629,18.26023487,13.36497791,15.47576665,15.56218193,15.40377236,14.62487586,12.44836106,12.06669872,55.71556188,13.85656214,20.27177276,13.49047038,14.39216348,39.84705041,21.11248503,14.53299891,29.88694053,15.48534752,13.35101618,127.8097279,14.32954142,13.68682297,14.8284312,12.96009206,13.08092318,12.66771905,16.44610933,75.64427619,11.84455184,14.88894044,13.21981854,16.23105345,15.93652424,9.501703921,14.66461685,32.92095785,23.31057435,29.22902569,11.32210634,12.96118889,14.37818396,21.32729004,10.79003114,12.43669614,28.11544846,16.42760309,11.06580005,16.51169402,13.19187882,13.42706691,14.05771504,13.95173941,16.63237237,18.59117413,13.18515749,15.1508481,13.97060305,11.44292703,13.3065815,15.33239229,19.01914408,15.91625879
"CD44",328.8738286,76.80782528,207.267435,921.6643564,92.75751287,246.6712277,149.8888845,320.2066371,135.2659154,237.8441983,108.0441959,96.56960465,97.39191229,104.4123808,118.0359906,91.69061747,87.88516741,116.4590443,85.66984371,271.436637,94.58827609,109.1056877,320.8835807,136.7310764,59.30889033,157.0299967,91.70795883,68.94128307,134.4722619,230.8172629,148.2056721,256.9971577,396.5021945,310.075399,142.0970032,74.16212335,105.3035748,854.1298581,147.5409625,97.81857762,114.1701001,262.8642634,133.648874,145.8557264,123.2974069,88.38806927,128.711038,245.9516704,146.586583,271.8286915,153.7052653,283.4960817,315.5309562,123.324838,337.6194031,319.2000769,326.3937365,475.6008524,117.9392861,256.5797051,197.3255452,71.23267509,169.9767577,313.1290502,140.6768836,76.52711046,228.7728602,54.07592923
"IL10",14.27136719,16.13140862,19.66952823,12.66529571,13.13575944,14.59474607,14.65921787,19.74571656,12.05451527,13.75781045,14.79241409,13.27615378,10.87061388,11.26332115,18.98811065,13.01623949,12.13402779,12.55452956,11.11626698,13.90841341,18.65644478,12.89987052,15.87785603,21.50126624,13.9801625,53.31597853,12.61816407,10.25655714,12.00943655,12.06793864,10.07374953,16.56368393,15.03324928,21.83498674,10.74324501,16.36260471,13.57485741,65.62865222,18.71510813,11.47312217,13.25402162,15.72519904,12.00166031,20.98871582,10.75620786,12.21212493,13.85810884,14.78961499,11.6714664,11.19547556,21.28961351,12.55835478,9.586838611,12.67122342,10.95287997,20.87621681,13.84208762,10.68904782,19.20951876,10.28372682,10.46016294,15.96750065,12.81165002,12.75434101,14.7681869,13.51596536,12.60584883,12.57021315
"PECAM1",42.55058493,71.09316251,33.86092975,75.44269777,34.63032848,39.00141127,29.09950717,82.62324777,33.30366907,26.80165845,29.19671388,50.55347973,33.81379202,30.69519039,52.41358868,40.85159313,25.48436806,26.78036184,37.80528727,34.89514674,32.36862961,31.63381335,36.26715053,38.47042903,23.81211836,36.91977113,27.09710752,41.00718183,36.8241836,24.00339606,27.07659749,36.31024356,56.54467769,51.73097597,36.84999418,36.53520461,33.88897052,69.80095912,44.25568553,31.81728877,28.7021069,33.438031,36.26802376,34.28951505,33.53940015,46.99703899,25.51686793,102.6632828,34.0586943,40.68608169,32.26272029,31.19711358,31.30097581,47.78112092,38.07003146,73.4191729,32.02435947,25.99153856,27.58520776,25.27338612,31.41512826,357.9359339,24.60875903,34.59778253,69.4803572,41.37531784,42.60983926,30.35376906
"FOS",3836.641599,697.4297289,1851.025614,2624.43131,671.7916769,2042.28334,3318.464708,1483.624682,1494.071936,4575.366498,6209.563228,561.0943997,551.7134406,108.0564327,2439.154171,1223.337816,977.504972,579.0764861,1639.846004,4505.928006,1695.254839,473.0017317,1227.233057,3858.947638,3863.672739,4861.072508,1369.054511,2198.850312,2860.284109,213.4822,533.1001163,1888.227157,7077.641448,6671.359978,409.1736882,3567.449238,1766.858439,4869.595228,4631.062591,972.6853346,359.7334646,8364.295088,1718.332905,3938.927291,734.1553264,1127.06261,1772.299393,822.0066928,1101.909778,455.2586312,4704.083519,1964.786123,345.9129328,1380.595423,450.4342687,1432.532758,2171.092562,3360.700937,5401.187144,937.5866994,514.0687214,2889.753962,1202.54265,2619.792586,410.6997685,691.7774797,3657.742491,1663.616123
"NFKB1",170.9071806,178.8618978,228.2230897,148.1148522,117.7436514,163.7642586,212.2872102,241.1454285,192.7829597,181.1098301,217.7414383,144.9890437,179.9459112,192.0431566,203.2523051,191.5252232,196.8064686,193.8499967,210.0407399,175.0169151,160.9999807,272.9846503,379.3147267,251.9378678,178.6737302,182.2194473,285.6815819,197.7175096,199.5743615,238.9269786,171.9254922,166.3736454,187.2599596,224.406081,190.2960774,242.4479782,242.3150844,326.8033043,233.7074535,266.7552755,329.9552169,235.7733382,229.3463034,226.9286081,79.34123719,212.8994532,262.7271701,131.5554176,220.393097,156.7356131,251.2132386,220.1799596,234.123602,200.8908781,262.6440211,209.2021476,204.8896885,162.1151977,216.7613847,234.5623228,154.406242,220.3847932,267.6196356,287.2909479,215.7976344,226.3453042,159.0307485,261.6844216
"CCL2",136.6343949,34.65750532,188.4581047,202.3617207,64.74541036,69.72786098,124.3075931,83.31238601,65.57926644,133.5258458,97.46453565,30.31926685,33.85776771,40.07144395,601.1927749,109.7486752,91.80329724,51.91236021,55.41198856,71.75280462,218.98904,77.51446,1068.487053,353.8632592,63.60196923,864.0034318,94.00923676,81.782199,76.3949568,49.4423382,55.63404791,32.4185148,75.30799935,110.4041929,26.53693504,132.6013941,74.18860696,986.1195075,53.10512496,70.57851816,164.1440883,332.3183789,36.83520592,294.4759822,568.6193386,41.70741124,108.4832638,191.5270304,55.20172894,31.1557357,1590.086292,143.3255405,117.8531385,152.5657185,114.0467811,317.5631503,57.42469266,118.1997626,892.0737969,427.6269654,74.14779449,39.2889104,98.91866468,118.9893912,62.58388146,55.24333587,44.62730249,931.0198313
"MYC",525.1489728,166.3081796,455.8325041,211.2934668,346.731148,478.8331324,1359.479883,817.3116998,758.3675747,768.6614158,712.9255921,2342.232288,315.6710231,1426.687841,930.287073,630.3465133,1226.886954,1220.059862,718.2859604,550.7556744,407.9116807,457.8758252,1071.520068,943.9309358,266.1833055,990.8756511,1342.558924,413.0134548,711.1394273,972.9747748,544.8560219,1100.164851,991.5815513,1067.723219,553.6784323,490.2144742,724.6058836,1000.41512,430.8587645,709.535364,615.8389717,683.9626359,1071.72517,729.661483,1665.034221,614.8457999,969.9005357,676.1866343,593.9916362,497.3748465,1610.782322,754.3720366,1188.290385,271.9857664,1129.082604,586.9073306,824.7928847,1933.137568,541.95747,1698.243274,809.0850855,516.6702204,760.1643291,824.3551929,1081.130599,284.4280197,785.3183992,1717.225469
"IL6",121.2117632,32.63370989,36.83539931,36.06949354,92.71380829,44.20314704,47.78186975,74.0569177,88.29853604,53.73473305,55.9201058,39.25277504,33.84839415,47.81615678,647.1579275,110.6279388,50.1847551,42.59214803,42.31645709,36.41657839,97.12757636,53.49468506,125.1118306,33.08155563,31.16689544,212.7597577,60.00930358,30.41798186,28.767633,36.98892962,34.80008938,38.97602706,45.23931562,296.5471383,21.95992795,44.73686088,65.97032248,177.7560793,48.77203543,24.41130665,30.39851621,271.4796156,98.90558548,113.526669,36.32415295,31.71153289,63.1095257,60.66741293,28.80206182,37.71489396,650.34913,139.7500033,43.92188667,37.3919659,45.75515869,43.06549482,76.15295855,50.0675338,74.76198469,96.02232083,22.86116837,44.45998305,18.81681913,127.2300178,44.55414728,40.00786703,73.92380897,72.61650201
